,userid,age,sex,nationality,usertype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,stationtype,timeofday,dayofweek,holiday,reservation_count,view_count
142,430,25-45,Male,Thai,GENERAL,BYD,SEAL,EV,L,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKEND,Yes,0.0,1.0
143,430,25-45,Male,Thai,GENERAL,HONDA,BRIO_AMAZE,Non-EV,XS,SEDAN,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
144,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,4.0
145,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Hatchback,Non-EV,S,HATCHBACK,TRAIN STATION,WORK HOURS,WEEKEND,No,1.0,1.0
146,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
147,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,LATE NIGHT,WEEKEND,Yes,0.0,1.0
148,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKDAY,No,1.0,2.0
149,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKEND,No,0.0,2.0
150,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,WORK HOURS,WEEKDAY,No,3.0,1.0
151,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,WORK HOURS,WEEKDAY,Yes,0.0,2.0
152,430,25-45,Male,Thai,GENERAL,HONDA,CITY_Sedan,Non-EV,S,SEDAN,TRAIN STATION,WORK HOURS,WEEKEND,No,0.0,4.0
153,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
154,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,LATE NIGHT,WEEKDAY,No,0.0,1.0
155,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
156,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKDAY,No,0.0,1.0
157,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKEND,No,0.0,1.0
158,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,LEISURE HOURS,WEEKEND,No,0.0,1.0
159,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,WORK HOURS,WEEKDAY,No,1.0,1.0
160,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,WORK HOURS,WEEKDAY,No,1.0,1.0
161,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,WORK HOURS,WEEKEND,No,0.0,1.0
162,430,25-45,Male,Thai,GENERAL,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN,TRAIN STATION,WORK HOURS,WEEKEND,No,0.0,1.0
163,430,25-45,Male,Thai,GENERAL,HONDA,CR-V,Non-EV,XL,SUV,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,4.0
164,430,25-45,Male,Thai,GENERAL,HONDA,CR-V,Non-EV,XL,SUV,TRAIN STATION,WORK HOURS,WEEKEND,No,0.0,1.0
165,430,25-45,Male,Thai,GENERAL,HONDA,HR-V,Non-EV,M,SUV,TRAIN STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
